"rank","language","original","translation"
1,"de","schön","beautiful"
2,"de","vorname","first name"
3,"de","menge | betrag","amount"
4,"de","urlaub | ferien","vacation"
5,"de","rechnung","bill"
6,"de","vorhanden | verfügbar","available"
7,"de","angebot","offer"
8,"de","entscheidung | bescheid","decision"
9,"de","frau","mrs"
10,"de","leute | menschen","people"
1,"es","hermosa | hermoso | bonito","beautiful"
2,"es","profesor | profesora | maestro","teacher"
3,"es","inglés","english"
4,"es","jueves","thursday"
5,"es","miércoles","wednesday"
6,"es","lugar | poner","place"
7,"es","bueno","good"
8,"es","amor","love"
9,"es","español","spanish"
10,"es","escuela | colegio","school"
1,"fr","bien | bon","good"
2,"fr","prénom","first name"
3,"fr","est","east"
4,"fr","beau | belle","beautiful"
5,"fr","nom","name"
6,"fr","mauvais | méchant","bad"
7,"fr","monsieur","gentleman"
8,"fr","grand | super","great"
9,"fr","pouvoir","power"
10,"fr","français","french"
1,"it","bene | buon | buono","good"
2,"it","giovedì","thursday"
3,"it","mercoledì","wednesday"
4,"it","martedì","tuesday"
5,"it","bello | bella","beautiful"
6,"it","risposta | rispondere","answer"
7,"it","disponibilità","availability"
8,"it","cosa","thing"
9,"it","giusto | destra","right"
10,"it","auguri","best wishes"
1,"ja","仕事 | 作業","work"
2,"ja","確認","confirmation"
3,"ja","判定 | 決定 | 判断","decision"
4,"ja","依頼 | 要求 | リクエスト","request"
5,"ja","日本語 | 日本人","japanese"
6,"ja","資料 | 書類","document"
7,"ja","内容","content"
8,"ja","翻訳","translation"
9,"ja","友達 | 仲間","friend"
10,"ja","日本","japan"
1,"nl","collega","colleague"
2,"nl","leuk | aardig","nice"
3,"nl","duidelijk | overzichtelijk","clear"
4,"nl","toelichting | uitleg","explanation"
5,"nl","gelukkig | blij","happy"
6,"nl","mooi","beautiful"
7,"nl","bijlage","appendix"
8,"nl","mogelijkheid | kans","opportunity"
9,"nl","opleiding","education"
10,"nl","opdracht","command"
1,"pl","czwartek","thursday"
2,"pl","wtorek","tuesday"
3,"pl","prośba | zadanie","request"
4,"pl","trochę | mało | mały","little"
5,"pl","zamówienie | kolejność | zlecenie","order"
6,"pl","polska","poland"
7,"pl","środa","wednesday"
8,"pl","oferta | propozycja","offer"
9,"pl","nazwisko | imię","name"
10,"pl","odpowiedź","reply"
1,"pt","bom | bem | boa","good"
2,"pt","amor","love"
3,"pt","certo | direito | direita","right"
4,"pt","professora | professor","teacher"
5,"pt","legal","cool"
6,"pt","desculpa","excuse"
7,"pt","bonito | bonita","beautiful"
8,"pt","resumo","summary"
9,"pt","pai","father"
10,"pt","frango | galinha","chicken"
1,"ru","мама","mama"
2,"ru","четверг","thursday"
3,"ru","россия","russia"
4,"ru","дом","house"
5,"ru","обед | ужин","dinner"
6,"ru","немного | маленький","little"
7,"ru","количество","quantity"
8,"ru","среда","wednesday"
9,"ru","вторник","tuesday"
10,"ru","любовь | люблю","love"
1,"tr","güzel","beautiful"
2,"tr","aşkım | askim","darling"
3,"tr","türkiye","turkey"
4,"tr","iyi","good"
5,"tr","canım | sevgili","dear"
6,"tr","adet | parça","piece"
7,"tr","türkçe | türk","turkish"
8,"tr","harika","fantastic"
9,"tr","salak | gerizekalı","idiot"
10,"tr","ay","moon"
1,"all","beautiful","beautiful"
2,"all","thursday","thursday"
3,"all","tuesday","tuesday"
4,"all","wednesday","wednesday"
5,"all","good","good"
6,"all","address","address"
7,"all","place","place"
8,"all","little","little"
9,"all","saturday","saturday"
10,"all","white","white"
